,Forecast
2022-03-19,3644.1033369137926
2022-03-20,3643.1763378037444
2022-03-21,3592.5601441378644
2022-03-22,3600.4857213444934
2022-03-23,3668.4262301279405
2022-03-24,3611.1754686425675
2022-03-25,3600.6880459581835
2022-03-26,3645.8398095506705
2022-03-27,3644.9128104406223
2022-03-28,3594.2966167747422
2022-03-29,3602.222193981371
2022-03-30,3670.1627027648183
2022-03-31,3612.9119412794453
2022-04-01,3602.4245185950613
2022-04-02,3647.5762821875483
2022-04-03,3646.6492830775
2022-04-04,3596.03308941162
2022-04-05,3603.958666618249
2022-04-06,3671.899175401696
2022-04-07,3614.648413916323
2022-04-08,3604.160991231939
2022-04-09,3649.312754824426
2022-04-10,3648.385755714378
2022-04-11,3597.769562048498
2022-04-12,3605.695139255127
2022-04-13,3673.635648038574
2022-04-14,3616.384886553201
2022-04-15,3605.897463868817
2022-04-16,3651.049227461304
2022-04-17,3650.1222283512557
2022-04-18,3599.5060346853757
2022-04-19,3607.4316118920046
2022-04-20,3675.3721206754517
2022-04-21,3618.1213591900787
2022-04-22,3607.6339365056947
2022-04-23,3652.7857000981817
2022-04-24,3651.8587009881335
2022-04-25,3601.2425073222535
2022-04-26,3609.1680845288824
2022-04-27,3677.1085933123295
2022-04-28,3619.8578318269565
2022-04-29,3609.3704091425725
2022-04-30,3654.5221727350595
2022-05-01,3653.5951736250113
2022-05-02,3602.9789799591313
2022-05-03,3610.9045571657603
2022-05-04,3678.8450659492073
2022-05-05,3621.5943044638343
2022-05-06,3611.1068817794503
2022-05-07,3656.2586453719373
2022-05-08,3655.331646261889
2022-05-09,3604.715452596009
2022-05-10,3612.641029802638
2022-05-11,3680.581538586085
2022-05-12,3623.330777100712
2022-05-13,3612.843354416328
2022-05-14,3657.995118008815
2022-05-15,3657.068118898767
2022-05-16,3606.451925232887
2022-05-17,3614.377502439516
2022-05-18,3682.318011222963
2022-05-19,3625.06724973759
2022-05-20,3614.579827053206
2022-05-21,3659.731590645693
2022-05-22,3658.8045915356447
2022-05-23,3608.1883978697647
2022-05-24,3616.1139750763937
2022-05-25,3684.0544838598407
2022-05-26,3626.8037223744677
2022-05-27,3616.3162996900837
2022-05-28,3661.4680632825707
2022-05-29,3660.5410641725225
2022-05-30,3609.9248705066425
2022-05-31,3617.8504477132715
2022-06-01,3685.7909564967185
2022-06-02,3628.5401950113455
2022-06-03,3618.0527723269615
2022-06-04,3663.2045359194485
2022-06-05,3662.2775368094003
2022-06-06,3611.6613431435203
2022-06-07,3619.5869203501493
2022-06-08,3687.5274291335963
2022-06-09,3630.2766676482233
2022-06-10,3619.7892449638393
2022-06-11,3664.9410085563263
2022-06-12,3664.014009446278
2022-06-13,3613.397815780398
2022-06-14,3621.323392987027
2022-06-15,3689.263901770474
2022-06-16,3632.013140285101
2022-06-17,3621.525717600717
2022-06-18,3666.677481193204
2022-06-19,3665.750482083156
2022-06-20,3615.134288417276
2022-06-21,3623.059865623905
2022-06-22,3691.000374407352
2022-06-23,3633.749612921979
2022-06-24,3623.262190237595
2022-06-25,3668.413953830082
2022-06-26,3667.4869547200337
2022-06-27,3616.8707610541537
2022-06-28,3624.7963382607827
2022-06-29,3692.7368470442298
2022-06-30,3635.4860855588568
2022-07-01,3624.9986628744728
2022-07-02,3670.1504264669597
2022-07-03,3669.2234273569115
2022-07-04,3618.6072336910315
2022-07-05,3626.5328108976605
2022-07-06,3694.4733196811076
2022-07-07,3637.2225581957346
2022-07-08,3626.7351355113506
2022-07-09,3671.8868991038375
2022-07-10,3670.9598999937893
2022-07-11,3620.3437063279093
2022-07-12,3628.2692835345383
2022-07-13,3696.2097923179854
2022-07-14,3638.9590308326124
2022-07-15,3628.4716081482284
2022-07-16,3673.6233717407154
2022-07-17,3672.696372630667
2022-07-18,3622.080178964787
2022-07-19,3630.005756171416
2022-07-20,3697.946264954863
2022-07-21,3640.69550346949
2022-07-22,3630.208080785106
2022-07-23,3675.359844377593
2022-07-24,3674.432845267545
2022-07-25,3623.816651601665
2022-07-26,3631.742228808294
2022-07-27,3699.682737591741
2022-07-28,3642.431976106368
2022-07-29,3631.944553421984
2022-07-30,3677.096317014471
2022-07-31,3676.1693179044228
2022-08-01,3625.5531242385428
2022-08-02,3633.4787014451717
2022-08-03,3701.419210228619
2022-08-04,3644.168448743246
2022-08-05,3633.681026058862
2022-08-06,3678.832789651349
2022-08-07,3677.9057905413006
2022-08-08,3627.2895968754206
2022-08-09,3635.2151740820495
2022-08-10,3703.1556828654966
2022-08-11,3645.9049213801236
2022-08-12,3635.4174986957396
2022-08-13,3680.5692622882266
2022-08-14,3679.6422631781784
2022-08-15,3629.0260695122984
2022-08-16,3636.9516467189273
2022-08-17,3704.8921555023744
2022-08-18,3647.6413940170014
2022-08-19,3637.1539713326174
2022-08-20,3682.3057349251044
2022-08-21,3681.378735815056
2022-08-22,3630.762542149176
2022-08-23,3638.688119355805
2022-08-24,3706.628628139252
2022-08-25,3649.377866653879
2022-08-26,3638.890443969495
2022-08-27,3684.042207561982
2022-08-28,3683.115208451934
2022-08-29,3632.499014786054
2022-08-30,3640.424591992683
2022-08-31,3708.36510077613
2022-09-01,3651.114339290757
2022-09-02,3640.626916606373
2022-09-03,3685.77868019886
2022-09-04,3684.851681088812
2022-09-05,3634.235487422932
2022-09-06,3642.1610646295608
2022-09-07,3710.101573413008
2022-09-08,3652.850811927635
2022-09-09,3642.363389243251
2022-09-10,3687.515152835738
2022-09-11,3686.5881537256896
2022-09-12,3635.9719600598096
2022-09-13,3643.8975372664386
2022-09-14,3711.8380460498856
2022-09-15,3654.5872845645126
2022-09-16,3644.0998618801286
2022-09-17,3689.2516254726156
2022-09-18,3688.3246263625674
2022-09-19,3637.7084326966874
2022-09-20,3645.6340099033164
2022-09-21,3713.5745186867634
2022-09-22,3656.3237572013904
2022-09-23,3645.8363345170064
2022-09-24,3690.9880981094934
2022-09-25,3690.061098999445
2022-09-26,3639.444905333565
2022-09-27,3647.370482540194
2022-09-28,3715.3109913236412
2022-09-29,3658.0602298382682
2022-09-30,3647.5728071538842
2022-10-01,3692.7245707463712
2022-10-02,3691.797571636323
2022-10-03,3641.181377970443
2022-10-04,3649.106955177072
2022-10-05,3717.047463960519
2022-10-06,3659.796702475146
2022-10-07,3649.309279790762
2022-10-08,3694.461043383249
2022-10-09,3693.534044273201
2022-10-10,3642.917850607321
2022-10-11,3650.84342781395
2022-10-12,3718.783936597397
2022-10-13,3661.533175112024
2022-10-14,3651.04575242764
2022-10-15,3696.197516020127
2022-10-16,3695.2705169100786
2022-10-17,3644.6543232441986
2022-10-18,3652.5799004508276
2022-10-19,3720.5204092342747
2022-10-20,3663.2696477489017
2022-10-21,3652.7822250645177
2022-10-22,3697.9339886570046
2022-10-23,3697.0069895469564
2022-10-24,3646.3907958810764
2022-10-25,3654.3163730877054
2022-10-26,3722.2568818711525
2022-10-27,3665.0061203857795
2022-10-28,3654.5186977013955
